id,en,es,ja,zh,hi,fr,ar
action_convince,Convince,Convencer,納得させる,说服,राजी करना,Convaincre,يقنع
combat.defeat,Defeat,Fracaso,敗北,击败,हराना,Défaite,هزيمة
combat.victory,Victory,Victoria,勝利,胜利,विजय,Victoire,انتصار
hud.action_attack,Attack,Ataque,攻撃,攻击,आक्रमण करना,Attaque,هجوم
hud.action_back,Back,Atrás,戻る,后退,पीछे,Dos,خلف
hud.action_format_near,{count} {label},{contar} {etiqueta},{カウント} {ラベル},{计数} {标签},{गणना} {लेबल},{compte} {étiquette},{count} {label}
hud.action_format_combined,{base} ({details}),{base} ({detalles}),{base} ({details}),{基础}（{详情}）,{आधार} ({विवरण}),{base} ({détails}),{base} ({details})
hud.action_format_reachable,{count} {label},{contar} {etiqueta},{カウント} {ラベル},{计数} {标签},{गणना} {लेबल},{compte} {étiquette},{count} {label}
hud.action_hint_reachable_convince,Move near to convince reachable neutrals.,Acércate para convencer a los neutrales accesibles.,接触可能な中立的な立場の人々に近づいて説得を試みる。,接近中立选民以说服他们。,पहुंच योग्य तटस्थ लोगों को मनाने के लिए उनके करीब जाएं।,Approchez-vous pour convaincre les personnes neutres que vous pouvez atteindre.,انتقل إلى أماكن قريبة لإقناع الأشخاص المحايدين الذين يمكن الوصول إليهم.
hud.action_hint_reachable_fight,Move near to attack reachable enemies.,Acércate para atacar a los enemigos que estén a tu alcance.,攻撃可能な敵に近づいて攻撃する。,靠近并攻击能够攻击到的敌人。,हमला करने के लिए पहुंच योग्य दुश्मनों के करीब जाएं।,Approchez-vous pour attaquer les ennemis à portée.,اقترب من الأعداء الذين يمكنك الوصول إليهم لمهاجمتهم.
hud.action_label_near,near,cerca,近く,靠近,पास में,près,قريب
hud.action_label_far,far,lejos,遠い,远的,दूर,loin,بعيد
hud.action_label_near,near,cerca,近く,靠近,पास में,près,قريب
hud.action_label_here,here,aquí,ここ,这里,यहाँ,ici,هنا
hud.action_list_separator,", ",",",、,，,", ",", ",،
hud.action_unknown,Unknown Action,Acción desconocida,不明なアクション,未知行动,अज्ञात कार्रवाई,Action inconnue,إجراء غير معروف
hud.actions_hint,Actions available,Acciones disponibles,利用可能なアクション,可采取的行动,उपलब्ध कार्रवाइयां,Actions disponibles,الإجراءات المتاحة
hud.active_unit_summary,"Active: {unit} (Action: {action}, Move: {move})","Activo: {unidad} (Acción: {acción}, Movimiento: {movimiento})",アクティブ: {unit} (アクション: {action}、移動: {move}),激活：{unit}（动作：{action}，移动：{move}）,"सक्रिय: {इकाई} (क्रिया: {क्रिया}, चाल: {चाल})","Actif : {unit} (Action : {action}, Déplacement : {move})",نشط: {وحدة} (فعل: {فعل}، حركة: {حركة})
hud.attacker,Attacker: {name},Atacante: {nombre},攻撃者: {name},攻击者：{name},हमलावर: {नाम},Attaquant : {nom},المهاجم: {الاسم}
